"Team,GP,W,L,PPG,FG%,3P%,FT%,REB,AST,TOV,STL,BLK"
"Milwaukee Bucks,65,53,12,118.6,47.7,35.6,74.2,51.7,25.9,14.9,7.4,6"
"Houston Rockets,64,40,24,118.1,45.4,34.8,78.7,44.9,21.5,14.7,8.5,5.1"
"Dallas Mavericks,67,40,27,116.4,46.2,36.9,77.3,47,24.5,12.8,6.3,5"
"LA Clippers,64,44,20,116.2,46.4,36.6,79.2,48,23.8,14.8,7.1,5"
"New Orleans Pelicans,64,28,36,116.2,46.2,37.2,72.9,47,27,16.2,7.6,5.1"
"Washington Wizards,64,24,40,115.6,46.1,37.2,78.7,41.7,25.3,14.1,8.1,4.3"
"Los Angeles Lakers,63,49,14,114.3,48.5,35.5,73,46.1,25.9,15.1,8.6,6.8"
"Portland Trail Blazers,66,29,37,113.6,46.1,37.2,79.8,45.5,20.2,13,6.1,6.2"
"Minnesota Timberwolves,64,19,45,113.3,44.1,33.6,75.3,44.8,23.8,15.3,8.7,5.7"
"San Antonio Spurs,63,27,36,113.2,47,37.1,80.9,44.4,24.5,12.3,7.2,5.5"
"Boston Celtics,64,43,21,113,45.9,36.3,80.1,46,22.8,13.6,8.3,5.6"
"Toronto Raptors,64,46,18,113,45.8,37.1,80,45.2,25.4,14.4,8.8,4.9"
"Memphis Grizzlies,65,32,33,112.6,47,35.2,76.1,46.7,27,15.3,8,5.6"
"Phoenix Suns,65,26,39,112.6,46.4,35.3,82.6,43.1,27.2,15.1,7.8,4"
"Miami Heat,65,41,24,112.2,47,38.3,77.8,44.5,26,14.9,7.4,4.5"
"Atlanta Hawks,67,20,47,111.8,44.9,33.3,79,43.3,24,16.2,7.8,5.1"
"Utah Jazz,64,41,23,111,47.5,38.3,77.2,45.1,22.2,14.9,5.9,4"
"Brooklyn Nets,64,30,34,110.8,44.4,34,74.4,48.5,24,15.5,6.5,4.6"
"Oklahoma City Thunder,64,40,24,110.8,47.3,35.5,79.7,42.7,21.9,13.5,7.6,5"
"Denver Nuggets,65,43,22,110.4,47.1,35.8,77.5,44.3,26.5,13.7,8.1,4.6"
"Philadelphia 76ers,65,39,26,109.6,46.5,36.2,75.2,45.5,25.9,14.2,8.2,5.4"
"Indiana Pacers,65,39,26,109.3,47.7,36.3,78.7,42.8,25.9,13.1,7.2,5.1"
"Sacramento Kings,64,28,36,109,45.9,36.4,76.9,42.5,23.4,14.4,7.6,4.2"
"Detroit Pistons,66,20,46,107.2,45.9,36.7,74.3,41.7,24.1,15.3,7.4,4.5"
"Cleveland Cavaliers,65,19,46,106.9,45.8,35.1,75.8,44.2,23.1,16.5,6.9,3.2"
"Chicago Bulls,65,22,43,106.8,44.7,34.8,75.5,41.9,23.2,15.5,10,4.1"
"Orlando Magic,65,30,35,106.4,44.2,34.1,77,44.5,24,12.6,8.4,5.7"
"Golden State Warriors,65,15,50,106.3,43.8,33.4,80.3,42.8,25.6,14.9,8.2,4.6"
"New York Knicks,66,21,45,105.8,44.7,33.7,69.4,46.5,22.1,14.3,7.6,4.7"
"Charlotte Hornets,65,23,42,102.9,43.4,35.2,74.8,42.8,23.8,14.6,6.6,4.1"